杨朝来	111111111111111100	丽江	1000.00	111111111111111102	1
蒋平	111111111111111101	等待一	1010.00	111111111111111103	2
唐灿华	111111111111111102	生生世	1020.00	111111111111111104	3
马达	111111111111111103	诺言	1030.00	111111111111111105	4
赵小雪	111111111111111104	凤凰	1040.00	111111111111111106	5
薛文泉	111111111111111105	如果	1050.00	111111111111111107	1
丁建伟	111111111111111106	有一天	1060.00	111111111111111108	2
凡小芬	111111111111111107	请将我	1070.00	111111111111111109	3
文明	111111111111111108	这里	1080.00	111111111111111100	4
文彭凤	111111111111111109	和顺	1090.00	111111111111111101	5
王丽	111111111111111110	马蹄声	1100.00	111111111111111100	1
王建华	111111111111111111	梦遇归	1110.00	111111111111111101	2
王梓人	111111111111111112	婺源	1120.00	111111111111111102	3
王震	111111111111111113	最后	1130.00	111111111111111103	4
王保真	111111111111111114	最美家	1140.00	111111111111111104	5
王景亮	111111111111111115	平遥	1150.00	111111111111111105	1
王丹	111111111111111116	内敛沉	1160.00	111111111111111106	2
邓志勇	111111111111111117	世家气	1170.00	111111111111111107	3
邓婕尹	111111111111111118	乌镇	1180.00	111111111111111108	4
会南	111111111111111119	水乡里	1190.00	111111111111111109	5
叶汝红	111111111111111120	轻吟浅	1200.00	111111111111111100	1
付伟娜	111111111111111121	西递	1210.00	111111111111111101	2
付双红	111111111111111122	桃花	1220.00	111111111111111102	3
毕泗迁	111111111111111123	渐欲	1230.00	111111111111111103	4
孙平	111111111111111124	迷人眼	1240.00	111111111111111104	5
毛华强	111111111111111125	西江	1250.00	111111111111111105	1
孙益奇	111111111111111126	苗寨	1260.00	111111111111111106	2
孙媛媛	111111111111111127	荣辱	1270.00	111111111111111107	3
伍婷阳	111111111111111128	兴衰	1280.00	111111111111111108	4
娣阳	111111111111111129	话苗疆	1290.00	111111111111111109	5
倩莹	111111111111111130	丹巴藏	1300.00	111111111111111100	1
刘小梅	111111111111111131	造物	1310.00	111111111111111101	2
刘俊鸣	111111111111111132	极致恩	1320.00	111111111111111102	3
刘海兵	111111111111111133	图瓦村	1330.00	111111111111111103	4
刘伟华	111111111111111134	一方	1340.00	111111111111111104	5
刘启龙	111111111111111135	家园	1350.00	111111111111111105	1
刘勇辉	111111111111111136	净土	1360.00	111111111111111106	2
吕红朱	111111111111111137	九寨沟	1370.00	111111111111111107	3
智新	111111111111111138	画壁	1380.00	111111111111111108	4
张建辉	111111111111111139	奇异世	1390.00	111111111111111109	5
李湘群	111111111111111140	青海湖	1400.00	111111111111111100	1
李自新	111111111111111141	九天神	1410.00	111111111111111101	2
李俊	111111111111111142	情癫之	1420.00	111111111111111102	3
李娟	111111111111111143	纳木措	1430.00	111111111111111103	4
李君琳	111111111111111144	尘世污	1440.00	111111111111111104	5
李桂富	111111111111111145	漓江	1450.00	111111111111111105	1
陈其虎	111111111111111146	迷失	1460.00	111111111111111106	2
陈明	111111111111111147	笔墨	1470.00	111111111111111107	3
邵彩云	111111111111111148	丹青	1480.00	111111111111111108	4
杨知	111111111111111149	黄山	1490.00	111111111111111109	5
杨波	111111111111111150	长白山	1500.00	111111111111111100	1
杨开基	111111111111111151	天池	1510.00	111111111111111101	2
杨友成	111111111111111152	壶口瀑	1520.00	111111111111111102	3
杨巧敏	111111111111111153	西湖	1530.00	111111111111111103	4
杨国栋	111111111111111154	泰山	1540.00	111111111111111104	5
罗新磊	111111111111111155	张家界	1550.00	111111111111111105	1
小红	111111111111111156	桃花源	1560.00	111111111111111106	2
